governorate,code,year,rank,success_rate,nb_lycees,lycees_per_1k,poverty_rate,illiteracy_rate,population,is_split_gov
Zaghouan,14,2024,17,40.44,11,0.817,16.2,26.9,191066,False
Zaghouan,14,2025,23,31.19,11,0.817,16.2,26.9,191066,False
Siliana,42,2018,17,24.57,23,1.424,27.8,32.1,229153,False
Siliana,42,2019,22,22.12,23,1.424,27.8,32.1,229153,False
Siliana,42,2020,16,21.59,23,1.424,27.8,32.1,229153,False
Siliana,42,2021,16,42.96,23,1.424,27.8,32.1,229153,False
Siliana,42,2022,15,36.63,23,1.424,27.8,32.1,229153,False
Siliana,42,2023,20,31.5,23,1.424,27.8,32.1,229153,False
Siliana,42,2024,18,37.67,23,1.424,27.8,32.1,229153,False
Siliana,42,2025,20,33.3,23,1.424,27.8,32.1,229153,False
Béja,31,2018,15,29.0,21,0.965,28.5,29.3,308710,False
Béja,31,2019,16,26.43,21,0.965,28.5,29.3,308710,False
Béja,31,2020,19,20.91,21,0.965,28.5,29.3,308710,False
Béja,31,2021,17,42.25,21,0.965,28.5,29.3,308710,False
Béja,31,2022,19,34.47,21,0.965,28.5,29.3,308710,False
Béja,31,2023,17,36.21,21,0.965,28.5,29.3,308710,False
Béja,31,2024,16,41.25,21,0.965,28.5,29.3,308710,False
Béja,31,2025,18,33.72,21,0.965,28.5,29.3,308710,False
Kef,41,2018,20,23.16,19,1.088,29.5,26.4,247741,False
Kef,41,2019,17,26.21,19,1.088,29.5,26.4,247741,False
Kef,41,2020,20,20.45,19,1.088,29.5,26.4,247741,False
Kef,41,2021,18,39.68,19,1.088,29.5,26.4,247741,False
Kef,41,2022,18,34.8,19,1.088,29.5,26.4,247741,False
Kef,41,2023,19,32.04,19,1.088,29.5,26.4,247741,False
Kef,41,2024,19,37.67,19,1.088,29.5,26.4,247741,False
Kef,41,2025,19,33.42,19,1.088,29.5,26.4,247741,False
Kairouan,81,2018,16,24.96,28,0.66,32.8,35.6,601915,False
Kairouan,81,2019,21,23.0,28,0.66,32.8,35.6,601915,False
Kairouan,81,2020,22,19.39,28,0.66,32.8,35.6,601915,False
Kairouan,81,2021,19,39.67,28,0.66,32.8,35.6,601915,False
Kairouan,81,2022,22,31.04,28,0.66,32.8,35.6,601915,False
Kairouan,81,2023,22,30.41,28,0.66,32.8,35.6,601915,False
Kairouan,81,2024,22,36.43,28,0.66,32.8,35.6,601915,False
Kairouan,81,2025,22,31.54,28,0.66,32.8,35.6,601915,False
Kasserine,43,2018,24,21.74,30,0.913,33.5,32.7,465832,False
Kasserine,43,2019,26,16.08,30,0.913,33.5,32.7,465832,False
Kasserine,43,2020,17,21.37,30,0.913,33.5,32.7,465832,False
Kasserine,43,2021,20,39.63,30,0.913,33.5,32.7,465832,False
Kasserine,43,2022,26,23.79,30,0.913,33.5,32.7,465832,False
Kasserine,43,2023,26,23.65,30,0.913,33.5,32.7,465832,False
Kasserine,43,2024,26,29.87,30,0.913,33.5,32.7,465832,False
Kasserine,43,2025,26,24.53,30,0.913,33.5,32.7,465832,False
Sidi Bouzid,51,2018,18,23.7,29,0.894,24.3,30.4,459891,False
Sidi Bouzid,51,2019,18,25.03,29,0.894,24.3,30.4,459891,False
Sidi Bouzid,51,2020,13,24.11,29,0.894,24.3,30.4,459891,False
Sidi Bouzid,51,2021,21,39.61,29,0.894,24.3,30.4,459891,False
Sidi Bouzid,51,2022,23,30.15,29,0.894,24.3,30.4,459891,False
Sidi Bouzid,51,2023,21,30.67,29,0.894,24.3,30.4,459891,False
Sidi Bouzid,51,2024,24,32.41,29,0.894,24.3,30.4,459891,False
Sidi Bouzid,51,2025,16,37.09,29,0.894,24.3,30.4,459891,False
Tozeur,53,2018,19,23.48,10,1.22,20.3,15.4,116316,False
Tozeur,53,2019,23,22.12,10,1.22,20.3,15.4,116316,False
Tozeur,53,2020,25,18.4,10,1.22,20.3,15.4,116316,False
Tozeur,53,2021,22,39.6,10,1.22,20.3,15.4,116316,False
Tozeur,53,2022,21,31.92,10,1.22,20.3,15.4,116316,False
Tozeur,53,2023,23,29.11,10,1.22,20.3,15.4,116316,False
Tozeur,53,2024,20,37.65,10,1.22,20.3,15.4,116316,False
Tozeur,53,2025,21,33.24,10,1.22,20.3,15.4,116316,False
Tataouine,62,2018,25,21.14,13,1.213,25.1,18.3,152069,False
Tataouine,62,2019,24,21.8,13,1.213,25.1,18.3,152069,False
Tataouine,62,2020,26,17.61,13,1.213,25.1,18.3,152069,False
Tataouine,62,2021,23,38.64,13,1.213,25.1,18.3,152069,False
Tataouine,62,2022,16,36.4,13,1.213,25.1,18.3,152069,False
Tataouine,62,2023,15,37.53,13,1.213,25.1,18.3,152069,False
Tataouine,62,2024,15,46.23,13,1.213,25.1,18.3,152069,False
Tataouine,62,2025,15,39.08,13,1.213,25.1,18.3,152069,False
Kébili,61,2018,23,22.26,15,1.241,20.5,18.8,171478,False
Kébili,61,2019,25,20.38,15,1.241,20.5,18.8,171478,False
Kébili,61,2020,24,18.59,15,1.241,20.5,18.8,171478,False
Kébili,61,2021,24,37.56,15,1.241,20.5,18.8,171478,False
Kébili,61,2022,20,34.32,15,1.241,20.5,18.8,171478,False
Kébili,61,2023,18,33.96,15,1.241,20.5,18.8,171478,False
Kébili,61,2024,21,36.81,15,1.241,20.5,18.8,171478,False
Kébili,61,2025,17,36.28,15,1.241,20.5,18.8,171478,False
Gafsa,52,2018,22,22.83,35,1.397,24.6,21.2,355341,False
Gafsa,52,2019,20,24.46,35,1.397,24.6,21.2,355341,False
Gafsa,52,2020,23,18.9,35,1.397,24.6,21.2,355341,False
Gafsa,52,2021,25,37.39,35,1.397,24.6,21.2,355341,False
Gafsa,52,2022,25,26.29,35,1.397,24.6,21.2,355341,False
Gafsa,52,2023,25,25.38,35,1.397,24.6,21.2,355341,False
Gafsa,52,2024,26,29.87,35,1.397,24.6,21.2,355341,False
Gafsa,52,2025,25,28.02,35,1.397,24.6,21.2,355341,False
Jendouba,32,2018,26,20.68,21,0.735,27.6,33.4,405167,False
Jendouba,32,2019,22,22.66,21,0.735,27.6,33.4,405167,False
Jendouba,32,2020,21,19.74,21,0.735,27.6,33.4,405167,False
Jendouba,32,2021,26,35.7,21,0.735,27.6,33.4,405167,False
Jendouba,32,2022,24,29.59,21,0.735,27.6,33.4,405167,False
Jendouba,32,2023,24,27.52,21,0.735,27.6,33.4,405167,False
Jendouba,32,2024,25,35.97,21,0.735,27.6,33.4,405167,False
Jendouba,32,2025,24,28.26,21,0.735,27.6,33.4,405167,False
